名称,电话,Address,CityName
新桥街道新和大道足球场,13922852108,宝安区新桥街道新和大道旁外环高速南侧,深圳市
碧头社区篮球场,0755-27053148,宝安区松岗街道碧头社区党群服务中心,深圳市
沙头角羽毛球馆（公益开放）,,盐田区沙头角街道金融路55号沙头角体育馆；海涛路27号盐田区游泳馆二楼,深圳市
沙井卫生监督所篮球场,27228588,宝安区沙井街道宝安大道8261号,深圳市
定岗湖公园生态篮球场,27228588,宝安区沙井街道欣丰路定岗湖公园,深圳市
明湖城市公园,18938978399,光明区凤凰街道光明区明湖城市公园,深圳市
G19高尔夫俱乐部（公益）,18666219000,龙岗区龙城街道公众高尔夫练习场一楼,深圳市
白石厦体育公园,13760179670,宝安区福永街道白石厦体育公园（立新湖公园南侧）,深圳市
茭塘篮球场,29889606,宝安区沙井街道茭塘花园旁,深圳市
西部义乌未来健康足球场,15814446992,宝安区沙井街道西环路2009号,深圳市
白石厦乌石岗足球场,13760179670,宝安区福永街道兴益路和美华路交界白石厦乌石岗足球场,深圳市
盛世华联旁网球场,"0755-27173136,13480992719",光明区凤凰街道公园路(甲子塘店),深圳市
南澳文体中心,0755-84403399,大鹏新区南澳街道南澳办事处人民路2号,深圳市
深圳市宝安区福永街道乒乓球训练基地,0755-27382823,宝安区福永街道怀德南路党群服务中心5楼乒乓球训练基地,深圳市
福永社区翠竹街篮球场,,宝安区福永街道福永社区翠竹街67号旁,深圳市
辛养社区廉政公园,0755-29693006,宝安区沙井街道辛养社区辛安路36号,深圳市
衙边篮球场,13670000032,宝安区沙井街道衙边社区围浅小区,深圳市
华丰国际智造城篮球场,0755-81769999,宝安区沙井街道万安路华丰国际智造城24栋楼下,深圳市
高新科技园篮球场,13682555550,宝安区沙井街道帝堂路87号-20,深圳市
蓝天科技园篮球场,0755-33652222,宝安区沙井街道帝堂路沙二蓝天科技园,深圳市
怡安花园网球场,15811840506,宝安区沙井街道民主大道4号怡安花园,深圳市
沙二西环新村,0755-29479789,宝安区沙井街道西环路沙二西环新村篮球场、羽毛球场,深圳市
奇宏体育场,0755-33668888-63052,宝安区沙井街道辛养西部工业园生活区,深圳市
步涌社区文化广场篮球场,0755-23237838,宝安区沙井街道步涌社区文化广场篮球场,深圳市
沙井街道综合性文化服务中心室内乒乓球,0755-27228588,宝安区沙井街道西荟城一期3栋沙井街道综合性文化服务中心,深圳市
红花岭公园足球场（公益场）,,龙岗区龙岗街道清水路红花岭公园内进入靠左步行500米,深圳市
红花岭低碳公园足球球（公益场）,,龙岗区龙岗街道盐龙大道红花岭低碳公园停车场步行50米,深圳市
大鹏文体中心（公益）,0755-84312366,大鹏新区大鹏街道人民路37号,深圳市
杰奥足球场（公益）,18218723236,龙岗区坪地街道环坪路西侧零碳公园边（未来大道与果岭路交界处）,深圳市
旭日蔡志明羽毛球馆（公益）,15889550001,龙岗区平湖街道凤凰大道文体服务中心,深圳市
平湖体育中心网球场（公益）,15889550001,龙岗区平湖街道平湖体育中心,深圳市
大生（乐城）体育中心-公益场,0755-28886661,龙岗区园山街道坳园路,深圳市
民新社区公园,,龙华区民治街道平安路民兴工业区旁,深圳市
马坜社区公园,,龙华区观湖街道观城社区马坜村,深圳市
松元厦社区公园,,龙华区观湖街道松元厦社区松元派出所后,深圳市
金龙路带状公园,,龙华区民治街道金龙路与新区大道交汇处,深圳市
人民路街心公园,,龙华区民治街道深圳市龙华区民治街道人民路与绿景路交界处,深圳市
新区大道街心公园,,龙华区民治街道深圳市龙华区民治街道新区大道与民宝路交界处,深圳市
上芬社区公园,,龙华区民治街道深圳市龙华区民治街道西头瓜地新村与龙屋老村对面,深圳市
金湖湾体育公园,,龙华区福城街道金湖湾小区旁,深圳市
梅龙路四号地块,,龙华区民治街道龙华区龙华大道与民乐路交叉路口,深圳市
福城狮径公园,,龙华区福城街道悦兴路垃圾转运站旁,深圳市
小马沥街心公园,,龙华区福城街道百丽名苑，环城绿道入口,深圳市
章阁背礼园社区公园,,龙华区福城街道塘前村,深圳市
章阁城市公园,,龙华区福城街道道章阁社区富士康北门公园路,深圳市
罗屋围休闲公园,,龙华区大浪街道罗屋围绕村内,深圳市
石凹新村公园,,龙华区大浪街道石凹新村入口,深圳市
下岭排社区公园,,龙华区大浪街道下岭排村内,深圳市
大浪消防公园,,龙华区大浪街道新岭路边,深圳市
大浪体育公园,,龙华区大浪街道大浪办事处后面,深圳市
大浪劳动者广场,,龙华区大浪街道华繁路213号,深圳市
大浪龙平公园,,龙华区大浪街道布龙路与白玉街交汇处,深圳市
龙华区民塘路市政公园,,龙华区大浪街道民塘路与白玉街交汇处,深圳市
高峰社区消防文化公园,,龙华区大浪街道大浪西二路陶吓,深圳市
龙胜公园,,龙华区大浪街道龙胜旧村后面,深圳市
油松滨水公园,,龙华区观湖街道深圳艺术高中后门,深圳市
三联公园,,龙华区观湖街道龙华三联社区,深圳市
世纪广场,,龙华区观湖街道润城社区观澜世纪广场5号101,深圳市
观湖中心公园,,龙华区观湖街道鹭湖社区观盛二路中心公园,深圳市
龙华街道人民调解公园,,龙华区龙华街道龙观路与大浪南路交汇处西北侧,深圳市
逸秀公园,,龙华区民治街道金龙路与民丰路交界处,深圳市
梅坂大道街心公园,,龙华区民治街道梅坂大道莹水山庄一区入口旁,深圳市
梅龙路三号地公园,,龙华区民治街道梅龙路与白松一路交汇处,深圳市
白鸽湖文化公园,,龙华区观湖街道环观南路与景田路交叉口,深圳市
新田社区公园,,龙华区观湖街道新田社区景田路,深圳市
观城社区公园,,龙华区观湖街道观城社区观澜二中旁,深圳市
龙华绿廊公园,,龙华区民治街道民兴街-民宝路,深圳市
北站中心公园,,龙华区民治街道深圳北站西广场对面,深圳市
白石龙音乐公园,,龙华区民治街道新区大道与金龙路交叉口西南200米,深圳市
洪桥头社区统建楼北侧5人制足球场,13510922272,宝安区燕罗街道洪桥头社区统建楼北侧,深圳市
龙华君子布公园室外智能健身房,,龙华区观澜街道君子布社区君子布新七巷与君新路交叉口西南50米,深圳市
九龙山体育公园室外智能健身房,,龙华区福城街道桔塘社区观光路与观兴东路交叉处,深圳市
清湖社区公园室外智能健身房,,龙华区龙华街道清湖新村东北门（清湖商业广场旁）,深圳市
茜坑老村公园室外智能健身房,,龙华区福城街道茜坑社区茜坑老围运动场,深圳市
深圳北站中心公园室外智能健身房,,龙华区民治街道北站社区北站中心公园,深圳市
宝安区国民体质测试站,0755-27869392,宝安区新安街道新中心区裕安西路宝安体育馆东门一楼,深圳市
玫瑰苑游泳池,18665897847,龙华区观湖街道观澜大道深业观澜玫瑰苑,深圳市
月亮湾公园,,南山区南山街道南山区南山街道前海路0333号阳光玫瑰园对面,深圳市
南海公园,0755-86031806,南山区南山街道创业路以南、南海大道来福士广场以西、登良路以北、南光路以东,深圳市
大南山公园,0755-26827910,南山区招商街道沿山社区别墅路8号,深圳市
大光勘社区公园,,龙岗区坂田街道大光勘村东门旁,深圳市
光雅园社区公园,,龙岗区坂田街道光雅园一巷21-3号,深圳市
下水径公园,,龙岗区吉华街道金龙路21号,深圳市
深圳大运中心（公益场）,"0755-82299005,0755-82299004",龙岗区龙城街道龙翔大道3001号,深圳市
深圳市青少年足球训练基地（公益场）,18126470363,光明区公明街道李松蓢社区屋园路南,深圳市
天安数码城燃动仓,13827695043,龙岗区龙城街道天安数码城，面点王对面,深圳市
【大馆】龙城公园燃动仓,"1,915,822,244,913,820,000,000",龙岗区龙城街道龙城公园,深圳市
【小馆】龙城公园燃动仓,"1,915,822,244,913,820,000,000",龙岗区龙城街道龙城公园,深圳市
望桐公园,0755-25724172,罗湖区东湖街道望桐新路旁,深圳市
畔山决岭社区公园,0755-25724172,罗湖区莲塘街道罗沙路旁,深圳市
坭岗街心花园,,罗湖区清水河街道金碧路旁,深圳市
莲花社区公园,0755-25724172,罗湖区莲塘街道港莲路旁,深圳市
东晓社区公园,0755-25724172,罗湖区东晓街道金稻田路旁,深圳市
银湖文体社区公园,0755-25724172,罗湖区清水河街道金湖一路旁,深圳市
新兴社区公园,0755-25724172,罗湖区黄贝街道罗沙路旁,深圳市
新田公园,0755-25724172,罗湖区东湖街道新田大道旁,深圳市
新平村社区公园,0755-25724172,罗湖区东湖街道新平大道旁,深圳市
兴东社区篮球场,0755-23345431,宝安区新安街道兴东社区留仙二路二巷18号一楼,深圳市
松岗体育中心（公益开放）,0755-29601121,宝安区松岗街道东方大道松岗中学西侧,深圳市
茜坑老村篮球场,28012728,龙华区福城街道茜坑路茜坑新村内茜坑老村股份公司篮球场,深圳市
兴富奋斗者篮球场,23737523,龙华区福城街道大三村金湖湾内奋斗者广场,深圳市
罗湖区国民体质测试站,13620981734,罗湖区黄贝街道罗湖体育馆一楼北102室罗湖区社会体育指导员协会,深圳市
田心社区篮球场,,坪山区石井街道金田路346号,深圳市
田头社区风雨篮球场,,坪山区石井街道金田路212号,深圳市
田头社区公园门球场,,坪山区石井街道田头社区公园内,深圳市
石井社区公园篮球场,,坪山区石井街道名成路尽头,深圳市
福民社区运动场,23102151,龙华区福城街道悦兴路186号,深圳市
南联社区公园（公益）,15012764228,龙岗区龙岗街道宝南路南联社区公园,深圳市
九围社区篮球场,"0755-12345678,13011245786",宝安区航城街道九围社区洲石路589号,深圳市
盐田区网球场（公益场）,0755-25358062,盐田区海山街道海山路90号,深圳市
甲子塘安全生产主题公园运动场,13719514835,光明区凤凰街道甲子塘大道55-1号,深圳市
洪桥头足球场（公益）,13602693348,宝安区燕罗街道洪桥头社区洪圣路旁,深圳市
合水口社区足球场,17503058487,光明区马田街道合水口公园,深圳市
光明街道新围花园篮球场,,光明区光明街道光明社区华夏路42号新围花园旁,深圳市
黄麻布第三工业区篮球场,0755-29743144,宝安区航城街道黄麻布第三工业区,深圳市
三围公园篮球场,13590172079,宝安区航城街道航城三围物业旁,深圳市
三围社区文化广场篮球场,13590172079,宝安区航城街道三围二巷10号边,深圳市
草围社区篮球场,0755-23305297,宝安区航城街道草围二路28号,深圳市
后瑞社区篮球场,0755-27502707,宝安区航城街道后瑞社区新瑞一区后瑞后瑞篮球场,深圳市
黄田公园篮球场,18902443785,宝安区航城街道凯成二路边黄田公园,深圳市
利锦社区户外文体公园,0755-27513301,宝安区航城街道利锦社区文体公园,深圳市
大钟山公园,13922852108,宝安区新桥街道万丰社区万丰中路303号,深圳市
钟屋荔枝公园篮球场,18988794998,宝安区航城街道钟屋三路荔枝公园内,深圳市
钟屋社区新村广场篮球场,0755-27501691,宝安区航城街道航城钟屋新村广场,深圳市
鸿鹄足球场（公益）,13066982017,宝安区沙井街道鸿鹄知志教育城,深圳市
老街篮球场,0755-27607375,宝安区石岩街道老街小区公园,深圳市
荔湖花园篮球场,0755-27644681,宝安区石岩街道环石岩湖绿道荔湖花园东南侧鑫霖美食坊旁,深圳市
塘下涌文化广场球场,0755-27072611,宝安区燕罗街道塘下涌社区文化广场旁,深圳市
塘下涌一村篮球场,0755-27072611,宝安区燕罗街道塘下涌社区一村村委旁,深圳市
平湖上木古足球场（公益）,"1,576,618,718,118,120,000,000",龙岗区平湖街道彩姿南路与彩姿路口交叉口南50米,深圳市
平湖大岭足球场（公益）,"1,576,618,718,118,120,000,000",龙岗区平湖街道凤安路新南村凤凰工业园西侧约200米,深圳市
南湖街道综合性文体服务中心,0755-82297904,罗湖区南湖街道南湖路3005号国贸商业大厦4楼,深圳市
东门街道综合文体服务中心,0755-25107795,罗湖区东门街道万达丰大厦六楼,深圳市
清水河街道综合文体服务中心,,罗湖区清水河街道坭岗东路1106号清水河街道综合文体中心3楼,深圳市
黄贝街道综合文体服务中心,0755-22211956,罗湖区黄贝街道延芳路538号综合文体中心3楼,深圳市
（临时馆）东晓街道综合文体服务中心,0755-82676622,罗湖区东晓街道金稻田路紫荆花园A栋4楼草埔东社区综合文化服务中心多功能室,深圳市
深圳市力可兴电池有限公司篮球场,0755-27066466,宝安区燕罗街道广田路2号,深圳市
翠竹街道综合文体服务中心,0755-25126474,罗湖区翠竹街道爱国路330酒店公寓4层,深圳市
格第电子(深圳)有限公司篮球场,0755-27091915,宝安区燕罗街道松岗镇燕川北部工业区朝阳路68号,深圳市
东湖街道综合性文体服务中心,0755-22746418,罗湖区东湖路116号大望苑A座二楼,深圳市
嘉达绿色材料产业园篮球场,13418556529,宝安区燕罗街道朝阳路二期2栋5楼,深圳市
众和花园篮球场,0755-27072611,宝安区燕罗街道塘下涌社区洋涌路众和花园,深圳市
新曲办公楼前篮球场,,坪山区石井街道新曲办公楼前,深圳市
燕川北部工业园篮球场,13902948128,宝安区燕罗街道燕川社区北部工业园,深圳市
洪桥头社区篮球场,0755-27058285,宝安区燕罗街道洪桥头社区工作站门前,深圳市
罗田文化广场篮球场,0755-27092947,宝安区燕罗街道罗田社区罗田文化广场,深圳市
南昌公园,18199360315,宝安区西乡街道南昌公园,深圳市
坪洲篮球公园,15019231114,宝安区西乡街道坪洲篮球公园,深圳市
企龙山篮球公园,13760472654,宝安区西乡街道富华社区企龙山篮球公园,深圳市
西乡公园,15019231114,宝安区西乡街道富成路160号,深圳市
展城社区体育公园,0755-23303749,宝安区福海街道重庆路中集天达工业园南门,深圳市
上山门村篮球场,13826507806,宝安区燕罗街道上山门街心公园里面,深圳市
下山门公园篮球场,13826507806,宝安区燕罗街道下山门公园里面,深圳市
燕川文化广场篮球场,0755-27146966,宝安区燕罗街道燕川文化广场,深圳市
圳美社区好日子广场,0755-81767305,光明区新湖街道圳美社区工作站圳美大道,深圳市
田脚社区篮球场,,坪山区坑梓街道田脚社区里面,深圳市
燕子岭保障房篮球场,,坪山区龙田街道燕子岭保障房里面,深圳市
福昌篮球场,,坪山区坪山街道福昌小区里面,深圳市
聚龙花园2期篮球场,,坪山区龙田街道聚龙花园2期里面,深圳市
龙兴居委会篮球场,,坪山区马峦街道龙兴居委会旁边,深圳市
龙山篮球,,坪山区坑梓街道龙山社区里面,深圳市
禾场吓篮球场,,坪山区坑梓街道禾场吓小区里面,深圳市
大塘篮球场,,坪山区坑梓街道大塘旁边,深圳市
荔枝公园篮球场(牛背村）,,坪山区马峦街道荔枝公园(牛背村）里面,深圳市
大水湾公园篮球场,,坪山区龙田街道大水湾公园里面,深圳市
大窝祠堂对面篮球场,,坪山区坑梓街道大窝祠堂对面篮球场,深圳市
聚龙花园1期篮球场,,坪山区龙田街道聚龙花园1期里面,深圳市
沙坑居民小组篮球场,,坪山区碧岭街道沙坑居民小组里面,深圳市
青草林居民小组篮球场,,坪山区马峦街道青草林居民小组里面,深圳市
社区文化广场篮球场,,坪山区马峦街道坪环社区文化广场内,深圳市
新屋统建楼篮球场,,坪山区龙田街道新屋统建楼旁边,深圳市
李屋居民小组篮球场,,坪山区石井街道李屋居民小组办公楼5巷7号前,深圳市
田头社区公园内篮球场,,坪山区石井街道田头社区公园内,深圳市
田作居民小组篮球场,,坪山区石井街道田作居民小组旁边,深圳市
卢屋居委会办公室附近篮球场,,坪山区坑梓街道金沙社区卢屋居委会办公室附近,深圳市
金沙社区广场内篮球场,,坪山区坑梓街道金沙社区广场内,深圳市
龟山公园,13713888110,光明区马田街道薯田埔社区南环路,深圳市
凤凰山人才林公园球场,0755-27396077,宝安区福永街道福凤路东侧（凤凰幼儿园南面）,深圳市
将围社区篮球场,0755-23245073,光明区马田街道将围社区党群服务中心,深圳市
塘下涌三村篮球场 ,13802253235,宝安区燕罗街道塘下涌社区三村村委旁 ,深圳市
塘下涌二村篮球场 ,13802253235,宝安区燕罗街道塘下涌社区二村大楼旁,深圳市
东周文化公园,,光明区光明街道华夏二路东周文化公园,深圳市
竹韵公园,,光明区光明街道二十三号路与二十四号路交叉口西南150米竹韵公园,深圳市
新城公园,,光明区光明街道光明社区牛山路新城公园,深圳市
凤举公园,,光明区凤凰街道凤举路凤举公园,深圳市
凤凰公园,,光明区凤凰街道凤凰社区凤凰公园,深圳市
大雁山森林公园,,光明区玉塘街道长圳社区大雁山森林公园,深圳市
马拉松山湖绿道（大顶岭）,,光明区光明街道光灿路大顶岭,深圳市
百草园公园,13826538293,光明区凤凰街道百草园公园,深圳市
玉龙湾公园,,光明区玉塘街道松白路与田寮路交叉口北110米路西玉龙湾公园,深圳市
石围公园,18938978399,光明区马田街道石围社区石围公园,深圳市
楼村湿地公园,0755-82137777,光明区新湖街道公常路与龙大高速交叉口,深圳市
光明虹桥公园,,光明区光明街道光侨路与茶林路交汇处,深圳市
光照未来公园,,光明区新湖街道光侨北路诚铭学校旁,深圳市
红花山公园,,光明区公明街道振明路88号,深圳市
水荫公园,,光明区公明街道风景北路与水荫路交叉口,深圳市
光明区德园,,光明区公明街道德园,深圳市
坪山光祖公园,,坪山区坑梓街道吉康路978路,深圳市
盐田体育中心（公益开放）,0755-25013880,盐田区梅沙街道环梅路70号,深圳市
蛇口广场,,南山区蛇口街道东角头社区金世纪路11号,深圳市
松坪山公园,0755-28369597,南山区西丽街道松坪山乌石头路9号,深圳市
陶吓足球场 ,13316954839,龙华区大浪街道陶吓创意园3楼楼顶,深圳市
富康社区瓦窑排村篮球场,,龙华区龙华街道瓦窑排居委会办公楼后面,深圳市
清湖社区老村篮球场,,龙华区龙华街道清湖社区祠堂门口,深圳市
龙园社区龙华公园篮球场,,龙华区龙华街道龙华公园大门右侧,深圳市
丹坑篮球场,0755-28018969,龙华区福城街道丹坑股份公司门口,深圳市
茜坑新村篮球场,,龙华区福城街道龙华区去茜坑路茜坑新村内,深圳市
大水坑社区篮球场,23731312,龙华区福城街道大二村桔坑路篮球场,深圳市
君子布社区公园羽毛球场,13510597829,龙华区观澜街道君子布社区公园内,深圳市
竹村篮球场,21011606,龙华区福城街道竹村西区内,深圳市
大水田工业区A区篮球场,13728866646,龙华区观澜街道大水田工业区A区内,深圳市
新塘篮球场,28164280,龙华区福城街道新塘山顶小区,深圳市
大布巷住宅小区篮球场,13751110305,龙华区观澜街道大布巷住宅小区与银星智界二期交界处,深圳市
牛角龙工业区篮球场,13537692208,龙华区观湖街道观湖街道五和大道11号,深圳市
桔岭老村篮球场,28164280,龙华区福城街道桔岭新村党群V站边,深圳市
长坑村篮球场,15999597292,龙华区观湖街道樟坑径社区长坑村内,深圳市
富士施乐高科技篮球场,13751110305,龙华区观澜街道观澜银星工业园富士施乐高科技公司后方,深圳市
章阁警区篮球场,29425135,龙华区福城街道章阁老村东区170号旁,深圳市
万安堂篮球场,13751110305,龙华区观澜街道新澜社区派出所对面,深圳市
白鸽湖文化公园篮球场,18719450770,龙华区观湖街道樟溪社区环观南路与新樟路交界处白鸽湖文化公园,深圳市
新田社区谷湖龙篮球场,13603054235,龙华区观湖街道新田社区谷湖龙村,深圳市
章阁老村东区篮球场,29425135,龙华区福城街道章阁老村东区30号边,深圳市
牛湖工作站篮球场,13689503663,龙华区观澜街道牛湖工作站内,深圳市
新田社区元三村篮球场,13590474555,龙华区观湖街道新田社区元三村内,深圳市
黎光工作站篮球场,18126342431,龙华区观澜街道黎光工作站旁,深圳市
新田社区牛轭岭篮球场,13760272333,龙华区观湖街道新田社区牛轭岭村,深圳市
库坑社区围仔新村篮球场,15182124901,龙华区观澜街道围仔新村（一品红川湘菜馆旁边）,深圳市
塘前市场篮球场,29425135,龙华区福城街道章阁塘前市场,深圳市
库坑社区新围新村篮球场,15182124901,龙华区观澜街道库坑社区新围新村内,深圳市
新田社区老一村篮球场,13714113833,龙华区观湖街道新田社区老一村,深圳市
章阁富士康北小门篮球场,29425135,龙华区福城街道章阁富士康北小门,深圳市
新田吉坑村篮球场,13714280203,龙华区观湖街道新田社区吉坑村委,深圳市
库坑社区老围老村篮球场,15182124901,龙华区观澜街道库坑社区老围老村内,深圳市
大和村三队篮球场,15818667462,龙华区观湖街道龙华大道观澜天虹对机,深圳市
库坑社区库坑小学对面篮球场,15182124901,龙华区观澜街道库坑社区库坑小学对面,深圳市
大和环仔新村篮球场,15818667462,龙华区观湖街道大和环仔新村,深圳市
潮LOFT篮球场,13652340072,龙华区大浪街道华悦路150号C/D栋,深圳市
岗头陈屋围篮球场,0755-27973172,龙华区观湖街道观湖岗头陈屋围,深圳市
库坑工作站篮球场,,龙华区观澜街道库坑工作站内,深圳市
格兰云天网球场,13925245487,龙华区观湖街道深圳观澜格兰云天国际酒店,深圳市
君子布张一办公楼篮球场,13510597829,龙华区观澜街道君子布张一办公楼旁,深圳市
君子布龙兴新村小区篮球场,13510597829,龙华区观澜街道君子布龙兴新村小区内,深圳市
君子布黄背坑公园篮球场,13510597829,龙华区观澜街道君子布黄背坑公园内,深圳市
桂香社区香樟路篮球场,13651444298,龙华区观澜街道桂香社区香樟路红绿灯路口旁,深圳市
桂花社区放马铺篮球场,15999586300,龙华区观澜街道桂花社区放马铺村牌坊旁,深圳市
桂花社区赤花岭新村篮球场,15999586300,龙华区观澜街道赤花岭新村内,深圳市
大布巷篮球场,13751110305,龙华区观澜街道新澜社区大布巷市场对面,深圳市
银星体育公园篮球场,0755-21014050,龙华区观澜街道银星智界一期,深圳市
红玉路三号地块公园篮球场,,龙华区民治街道白松一路与红玉路交汇处,深圳市
民治公园,,龙华区民治街道民旺路88号民治社区公园,深圳市
德逸公园篮球场,13670251981,龙华区民治街道梅龙路与布龙路交会处德逸公园,深圳市
白鸽湖文化公园,,龙华区观湖街道环观南路与白鸽湖路交汇处,深圳市
大水田街心公园,,龙华区观澜街道裕新路,深圳市
求雨岭城市公园,,龙华区观澜街道牛湖老一村440号,深圳市
清湖乐园,,龙华区龙华街道华清大道清湖新村,深圳市
企坪公园,,龙华区观澜街道桂月社区桂月路,深圳市
龙华公园,,龙华区龙华街道人民路华园道319号,深圳市
君子布社区公园,,龙华区观澜街道办事处君子布社区公园,深圳市
德逸公园,0755-23736320,龙华区民治街道龙华大道与布龙路交汇处,深圳市
中海康城社区公园,0755-28712281,龙岗区龙城街道如意路中海康城花园中海康城国际南区,深圳市
